8000310,Remagen,50.577213,7.229781
8000312,Rendsburg,54.302262,9.671134
8000314,Reutlingen Hbf,48.496075,9.209116
8000316,Rheine,52.2763,7.434258
8000318,Rheydt Hbf,51.163031,6.439566
8000320,Rosenheim,47.85002,12.119202
8000322,Rottweil,48.165299,8.639298
8000323,Saarbrücken Hbf,49.241065,6.991018
8000329,Schwäbisch Gmünd,48.801007,9.787796
8000331,Andernach,50.434545,7.404837
8000333,Hausach,48.284928,8.181666
8000339,Mühlacker,48.953195,8.846104
8000349,Offenbach(Main)Hbf,50.099265,8.760743
8004449,Norddeich,53.621581,7.160825
8000366,Villingen(Schwarzw),48.058022,8.465258
8000368,Wabern(Bz Kassel),51.103136,9.35804
8070003,Frankfurt(M) Flughafen Fernbf,50.053169,8.57018
8070004,Frankfurt(M) Flughafen Regionalbf,50.051218,8.57125
8000377,Weinheim(Bergstr),49.553306,8.665349
8012666,Potsdam Hbf,52.391703,13.066782
8000385,Gunzenhausen,49.120448,10.755467
8004488,Nürtingen,48.628001,9.34265
8012683,Prora,54.444984,13.564057
8000664,Augustfehn,53.220886,7.759659
8000403,Aachen Süd(Gr),50.731917,6.045407
8006552,Wolfsburg Hbf,52.429494,10.787783
8004506,Oberau,47.559273,11.13927
8002461,Gütersloh Hbf,51.906942,8.385074
8002504,Haffkrug,54.054186,10.742684
8000459,Ainring,47.815034,12.964503
8012763,Ribnitz-Damgarten West,54.239175,12.436962
8002042,Frankfurt(Main)West,50.118862,8.639334
8000483,Alfeld(Leine),51.981418,9.817775
8000337,Marburg(Lahn),50.819274,8.775017
8004585,Oberstdorf,47.411032,10.278095
8002548,Hamburg Dammtor,53.560751,9.989568
8002549,Hamburg Hbf,53.552732,10.006908
8002553,Hamburg-Altona,53.552696,9.935174
8002554,Hamburg-Bergedorf,53.489835,10.206172
8010240,Naumburg(Saale)Hbf,51.163067,11.796984
8004610,Westerstede-Ocholt,53.202162,7.88647
8099508,Hannover-Wülfel,52.324347,9.788884
8000522,Hude,53.109429,8.460952
8006713,Leverkusen Mitte,51.03151,6.991657
8000571,Lippstadt,51.670688,8.348785
